,Area,Circ.,AR,Round,Solidity,Pore Type,Pore
12,9.674,1.0,1.809,0.553,0.8,G,5LTI
14,1.612,1.0,1.0,1.0,1.0,G,5LTI
33,8.062,1.0,1.553,0.644,0.909,G,5LTI
34,11.286,1.0,1.596,0.626,0.875,G,5LTI
35,1.612,1.0,1.0,1.0,1.0,G,5LTI
36,3.225,1.0,2.0,0.5,1.0,G,5LTI
37,1.612,1.0,1.0,1.0,1.0,G,5LTI
38,19.348,0.719,2.949,0.339,0.8,G,5LTI
39,3.225,1.0,2.0,0.5,1.0,G,5LTI
40,3.225,1.0,2.0,0.5,1.0,G,5LTI
41,8.062,1.0,1.553,0.644,0.909,G,5LTI
42,14.511,1.0,1.817,0.55,0.857,G,5LTI
43,1.612,1.0,1.0,1.0,1.0,G,5LTI
44,1.612,1.0,1.0,1.0,1.0,G,5LTI
45,283.766,0.382,5.286,0.189,0.755,G,5LTI
46,3.225,1.0,2.0,0.5,1.0,G,5LTI
47,6.449,1.0,1.468,0.681,0.8,G,5LTI
48,1.612,1.0,1.0,1.0,1.0,G,5LTI
49,1.612,1.0,1.0,1.0,1.0,G,5LTI
50,494.978,0.625,2.611,0.383,0.867,G,5LTI
51,1.612,1.0,1.0,1.0,1.0,G,5LTI
52,3.225,1.0,2.0,0.5,1.0,G,5LTI
53,8.062,1.0,1.553,0.644,0.909,G,5LTI
54,1.612,1.0,1.0,1.0,1.0,G,5LTI
55,95.126,0.23,2.135,0.468,0.48,G,5LTI
56,1.612,1.0,1.0,1.0,1.0,G,5LTI
57,367.606,0.627,1.987,0.503,0.843,G,5LTI
58,1.612,1.0,1.0,1.0,1.0,G,5LTI
59,4.837,0.967,3.0,0.333,1.0,G,5LTI
60,4.837,0.967,3.0,0.333,1.0,G,5LTI
61,146.72,0.826,1.512,0.661,0.879,G,5LTI
62,54.818,0.919,1.359,0.736,0.872,G,5LTI
63,9.674,0.769,2.81,0.356,0.75,G,5LTI
64,4.837,0.643,2.702,0.37,0.667,G,5LTI
65,4.837,1.0,1.464,0.683,0.857,G,5LTI
66,11.286,0.687,2.211,0.452,0.636,G,5LTI
67,8.062,0.674,2.61,0.383,0.769,G,5LTI
68,1.612,1.0,1.0,1.0,1.0,G,5LTI
69,8.062,0.674,2.749,0.364,0.769,G,5LTI
70,1447.85,0.353,1.606,0.623,0.845,G,5LTI
71,3.225,1.0,2.0,0.5,1.0,G,5LTI
72,8.062,1.0,1.553,0.644,0.909,G,5LTI
73,1.612,1.0,1.0,1.0,1.0,G,5LTI
74,1.612,1.0,1.0,1.0,1.0,G,5LTI
75,67.717,0.744,1.193,0.838,0.808,G,5LTI
76,11.286,0.718,2.423,0.413,0.824,G,5LTI
77,49.981,0.907,1.521,0.658,0.873,G,5LTI
78,199.926,0.882,1.383,0.723,0.912,G,5LTI
79,3.225,0.785,2.646,0.378,0.667,G,5LTI
80,14.511,0.726,2.674,0.374,0.75,G,5LTI
81,688.454,0.593,2.557,0.391,0.88,G,5LTI
82,1.612,1.0,1.0,1.0,1.0,G,5LTI
83,1.612,1.0,1.0,1.0,1.0,G,5LTI
84,14.511,1.0,1.536,0.651,0.857,G,5LTI
85,9.674,1.0,1.809,0.553,0.8,G,5LTI
86,8.062,1.0,1.553,0.644,0.909,G,5LTI
87,646.534,0.429,3.315,0.302,0.822,G,5LTI
88,8.062,0.536,5.0,0.2,1.0,G,5LTI
89,3.225,1.0,2.0,0.5,1.0,G,5LTI
90,9.674,1.0,1.5,0.667,1.0,G,5LTI
91,14.511,0.799,1.755,0.57,0.75,G,5LTI
92,58.043,0.365,2.084,0.48,0.742,G,5LTI
93,1.612,1.0,1.0,1.0,1.0,G,5LTI
94,1.612,1.0,1.0,1.0,1.0,G,5LTI
95,14.511,1.0,1.542,0.648,0.857,G,5LTI
96,25.797,0.423,1.459,0.686,0.533,G,5LTI
98,3.225,1.0,2.0,0.5,1.0,G,5LTI
99,138.658,0.41,3.267,0.306,0.683,G,5LTI
102,30.634,0.796,1.84,0.543,0.809,G,5LTI
103,588.491,0.161,3.68,0.272,0.548,G,5LTI
104,3.225,1.0,2.0,0.5,1.0,G,5LTI
105,29.021,0.687,1.159,0.863,0.75,G,5LTI
118,3.225,1.0,2.0,0.5,1.0,G,5LTI
119,9.674,0.809,2.237,0.447,0.857,G,5LTI
120,169.292,0.823,1.179,0.849,0.879,G,5LTI
123,1.612,1.0,1.0,1.0,1.0,G,5LTI
125,11.286,1.0,1.596,0.626,0.875,G,5LTI
126,3.225,1.0,2.0,0.5,1.0,G,5LTI
127,3.225,1.0,2.0,0.5,1.0,G,5LTI
128,14.511,1.0,1.34,0.746,0.857,G,5LTI
129,1.612,1.0,1.0,1.0,1.0,G,5LTI
131,6.449,0.857,2.0,0.5,0.8,G,5LTI
132,6.449,1.0,1.0,1.0,1.0,G,5LTI
133,19.348,0.781,2.016,0.496,0.8,G,5LTI
134,117.698,0.499,1.868,0.535,0.685,G,5LTI
135,3.225,1.0,2.0,0.5,1.0,G,5LTI
136,3.225,1.0,2.0,0.5,1.0,G,5LTI
137,56.431,0.462,2.011,0.497,0.7,G,5LTI
138,6.449,1.0,1.0,1.0,1.0,G,5LTI
139,1.612,1.0,1.0,1.0,1.0,G,5LTI
140,25.797,1.0,1.234,0.81,0.889,G,5LTI
141,1.612,1.0,1.0,1.0,1.0,G,5LTI
142,35.471,0.723,1.799,0.556,0.786,G,5LTI
143,3.225,0.785,2.646,0.378,0.667,G,5LTI
144,3.225,1.0,2.0,0.5,1.0,G,5LTI
145,1.612,1.0,1.0,1.0,1.0,G,5LTI
146,59.655,0.532,1.818,0.55,0.763,G,5LTI
147,3.225,1.0,2.0,0.5,1.0,G,5LTI
148,8.062,0.873,1.496,0.668,0.714,G,5LTI
149,1.612,1.0,1.0,1.0,1.0,G,5LTI
150,17.735,1.0,1.372,0.729,0.957,G,5LTI
151,4.837,1.0,1.464,0.683,0.857,G,5LTI
152,1.612,1.0,1.0,1.0,1.0,G,5LTI
153,1.612,1.0,1.0,1.0,1.0,G,5LTI
154,9.674,0.484,3.827,0.261,0.632,G,5LTI
155,20.96,0.753,2.079,0.481,0.765,G,5LTI
156,1.612,1.0,1.0,1.0,1.0,G,5LTI
157,6.449,0.857,2.0,0.5,0.8,G,5LTI
158,16.123,1.0,1.551,0.645,0.909,G,5LTI
159,1.612,1.0,1.0,1.0,1.0,G,5LTI
160,12.898,0.914,1.308,0.764,0.8,G,5LTI
161,3.225,1.0,2.0,0.5,1.0,G,5LTI
162,1.612,1.0,1.0,1.0,1.0,G,5LTI
163,1.612,1.0,1.0,1.0,1.0,G,5LTI
164,1.612,1.0,1.0,1.0,1.0,G,5LTI
165,3.225,1.0,2.0,0.5,1.0,G,5LTI
166,3.225,0.785,2.646,0.378,0.667,G,5LTI
167,1.612,1.0,1.0,1.0,1.0,G,5LTI
168,3.225,1.0,2.0,0.5,1.0,G,5LTI
169,11.286,0.8,2.408,0.415,0.737,G,5LTI
170,3.225,1.0,2.0,0.5,1.0,G,5LTI
171,43.532,0.611,1.954,0.512,0.771,G,5LTI
172,25.797,0.795,1.442,0.693,0.865,G,5LTI
173,3.225,0.785,2.646,0.378,0.667,G,5LTI
174,6.449,0.857,2.0,0.5,0.8,G,5LTI
175,22.572,0.564,3.823,0.262,0.933,G,5LTI
176,9.674,0.615,3.254,0.307,0.75,G,5LTI
177,3.225,0.785,2.646,0.378,0.667,G,5LTI
178,1.612,1.0,1.0,1.0,1.0,G,5LTI
179,83.84,0.623,1.748,0.572,0.825,G,5LTI
180,6.449,0.698,1.637,0.611,0.727,G,5LTI
181,1.612,1.0,1.0,1.0,1.0,G,5LTI
182,6.449,1.0,1.0,1.0,1.0,G,5LTI
183,1.612,1.0,1.0,1.0,1.0,G,5LTI
184,4.837,0.809,3.0,0.333,1.0,G,5LTI
185,19.348,0.781,1.892,0.529,0.828,G,5LTI
186,6.449,0.857,1.468,0.681,0.8,G,5LTI
188,1.612,1.0,1.0,1.0,1.0,G,5LTI
189,8.062,0.764,2.749,0.364,0.769,G,5LTI
190,3.225,1.0,2.0,0.5,1.0,G,5LTI
191,8.062,0.572,1.848,0.541,0.667,G,5LTI
192,1.612,1.0,1.0,1.0,1.0,G,5LTI
193,1.612,1.0,1.0,1.0,1.0,G,5LTI
194,8.062,0.674,1.727,0.579,0.714,G,5LTI
195,1.612,1.0,1.0,1.0,1.0,G,5LTI
196,16.123,0.887,1.383,0.723,0.769,G,5LTI
197,9.674,1.0,1.291,0.775,0.8,G,5LTI
198,8.062,1.0,1.553,0.644,0.909,G,5LTI
199,12.898,0.914,1.939,0.516,0.842,G,5LTI
200,6.449,0.611,3.493,0.286,0.667,G,5LTI
201,3.225,1.0,2.0,0.5,1.0,G,5LTI
222,7.768,1.0,1.553,0.644,0.909,G,10CBI
223,7.768,1.0,1.553,0.644,0.909,G,10CBI
224,20.197,0.753,1.883,0.531,0.812,G,10CBI
225,20.197,0.779,2.231,0.448,0.839,G,10CBI
226,6.215,1.0,1.0,1.0,1.0,G,10CBI
227,52.823,0.685,1.318,0.759,0.791,G,10CBI
228,4.661,1.0,1.464,0.683,0.857,G,10CBI
229,7.768,1.0,1.553,0.644,0.909,G,10CBI
230,1.554,1.0,1.0,1.0,1.0,G,10CBI
231,1.554,1.0,1.0,1.0,1.0,G,10CBI
232,7.768,1.0,1.553,0.644,0.909,G,10CBI
233,23.304,0.898,1.607,0.622,0.882,G,10CBI
234,7.768,1.0,1.553,0.644,0.909,G,10CBI
235,3.107,1.0,2.0,0.5,1.0,G,10CBI
236,4.661,1.0,1.464,0.683,0.857,G,10CBI
237,1.554,1.0,1.0,1.0,1.0,G,10CBI
238,3.107,1.0,2.0,0.5,1.0,G,10CBI
239,9.322,1.0,1.5,0.667,1.0,G,10CBI
240,1.554,1.0,1.0,1.0,1.0,G,10CBI
241,9.322,1.0,1.809,0.553,0.8,G,10CBI
242,1.554,1.0,1.0,1.0,1.0,G,10CBI
243,1.554,1.0,1.0,1.0,1.0,G,10CBI
244,13.983,1.0,1.817,0.55,0.857,G,10CBI
245,1.554,1.0,1.0,1.0,1.0,G,10CBI
246,1.554,1.0,1.0,1.0,1.0,G,10CBI
247,4.661,1.0,1.464,0.683,0.857,G,10CBI
248,1.554,1.0,1.0,1.0,1.0,G,10CBI
249,1.554,1.0,1.0,1.0,1.0,G,10CBI
250,1.554,1.0,1.0,1.0,1.0,G,10CBI
251,3.107,0.785,2.646,0.378,0.667,G,10CBI
252,1.554,1.0,1.0,1.0,1.0,G,10CBI
253,15.536,0.674,2.953,0.339,0.909,G,10CBI
254,1.554,1.0,1.0,1.0,1.0,G,10CBI
255,6.215,1.0,1.0,1.0,1.0,G,10CBI
256,1.554,1.0,1.0,1.0,1.0,G,10CBI
257,6.215,1.0,1.0,1.0,1.0,G,10CBI
258,7.768,0.873,2.308,0.433,0.769,G,10CBI
259,3.107,1.0,2.0,0.5,1.0,G,10CBI
260,1.554,1.0,1.0,1.0,1.0,G,10CBI
261,1.554,1.0,1.0,1.0,1.0,G,10CBI
262,4.661,1.0,1.464,0.683,0.857,G,10CBI
296,9.673,1.0,1.5,0.667,1.0,G,21LBO
297,25.794,0.795,1.946,0.514,0.821,G,21LBO
298,195.068,0.31,2.841,0.352,0.635,G,21LBO
299,4.836,0.809,3.0,0.333,1.0,G,21LBO
300,8.061,1.0,1.553,0.644,0.909,G,21LBO
